# Author: CJBurke Date: 02/27/2017
# Format: %7.4f %6.4f %7.5f
# Description:
#  This is a tabulated DE module for the Rstar dependence
#   as described in 
#    Burke, C.J. & Catanzarite, J. 2017, "Planet Detection Metrics: 
#       Per-Target Detection Contours for Data Release 25",
#	 KSCI-19111-001
# Column Description
# 1- MES
# 2- Rstar [Rsun]
# 3- Detection Efficiency 
23.5000 0.9886 1.00000
23.5000 1.0932 1.00000
23.5000 1.1977 1.00000
24.5000 0.1523 0.94281
24.5000 0.2568 1.00000
24.5000 0.3614 1.00000
24.5000 0.4659 1.00000
24.5000 0.5705 1.00000
24.5000 0.6750 1.00000
24.5000 0.7795 1.00000
24.5000 0.8841 1.00000
24.5000 0.9886 1.00000
24.5000 1.0932 1.00000
24.5000 1.1977 1.00000
25.5000 0.1523 0.94444
25.5000 0.2568 1.00000
25.5000 0.3614 1.00000
25.5000 0.4659 1.00000
25.5000 0.5705 1.00000
25.5000 0.6750 1.00000
25.5000 0.7795 1.00000
25.5000 0.8841 1.00000
25.5000 0.9886 1.00000
25.5000 1.0932 1.00000
25.5000 1.1977 1.00000
26.5000 0.1523 1.00000
26.5000 0.2568 1.00000
26.5000 0.3614 1.00000
26.5000 0.4659 1.00000
26.5000 0.5705 1.00000
26.5000 0.6750 1.00000
26.5000 0.7795 1.00000
26.5000 0.8841 1.00000
26.5000 0.9886 1.00000
26.5000 1.0932 1.00000
26.5000 1.1977 1.00000
27.5000 0.1523 0.92500
27.5000 0.2568 1.00000
27.5000 0.3614 1.00000
27.5000 0.4659 1.00000
27.5000 0.5705 1.00000
27.5000 0.6750 1.00000
27.5000 0.7795 1.00000
27.5000 0.8841 1.00000
27.5000 0.9886 1.00000
27.5000 1.0932 1.00000
27.5000 1.1977 1.00000
28.5000 0.1523 1.00000
28.5000 0.2568 1.00000
28.5000 0.3614 1.00000
28.5000 0.4659 1.00000
28.5000 0.5705 1.00000
28.5000 0.6750 1.00000
28.5000 0.7795 1.00000
28.5000 0.8841 1.00000
28.5000 0.9886 1.00000
28.5000 1.0932 1.00000
28.5000 1.1977 1.00000
29.5000 0.1523 1.00000
29.5000 0.2568 1.00000
29.5000 0.3614 1.00000
29.5000 0.4659 1.00000
29.5000 0.5705 1.00000
29.5000 0.6750 1.00000
29.5000 0.7795 1.00000
29.5000 0.8841 1.00000
29.5000 0.9886 1.00000
29.5000 1.0932 1.00000
29.5000 1.1977 1.00000
